@relation ProfileLearning

@attribute application_name numeric
@attribute package_name numeric
@attribute battery_level numeric
@attribute double_latitude numeric
@attribute double_longitude numeric
@attribute ssid numeric
@attribute timestamp date 'yyyy-MM-dd HH:mm:ss'
@attribute profile {morning,work,afterwork,night}

@data
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:37:39',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:37:44',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:37:54',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:51',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:39:54',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:40:14',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:40:14',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:40:24',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:40:34',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:40:44',work
44929885,1698344559,92,50.015596,19.89261,-1262792367,'2016-02-12 09:40:54',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:41:04',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:41:14',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:41:24',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:41:34',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:42:51',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:42:51',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:42:51',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:42:51',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:42:51',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:42:51',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:43:05',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:43:15',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:43:25',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:43:35',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:44:24',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:44:24',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:44:24',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:44:24',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:44:25',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:44:35',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:44:55',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:45:05',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:45:15',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:45:25',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:45:35',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:48:58',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:49:06',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:49:16',work
44929885,1698344559,93,50.015596,19.89261,-1262792367,'2016-02-12 09:49:26',work
